Reference, Value, Footprint, Datasheet, Mouser Part Number, Description, Manufacturer_Name, Manufacturer_Part_Number, Mouser Price/Stock, Height, Manufacturer Part Number
C1,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805C475K3RAUTO,,,,,,
S1,SLLB120200,board-schematics:SLLB120200,https://componentsearchengine.com/Datasheets/1/SLLB120200.pdf,688-SLLB120200,Multi-Directional Switches w/ switch gray lever Mtg knob integrated,ALPS,SLLB120200,https://www.mouser.com/Search/Refine.aspx?Keyword=688-SLLB120200,,
R2,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
R3,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
R4,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
C2,10u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805X106M9RAUTO,,,,,,
C14,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805C475K3RAUTO,,,,,,
C15,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805C475K3RAUTO,,,,,,
C16,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805C475K3RAUTO,,,,,,
C17,4.7u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805C475K3RAUTO,,,,,,
J1,Conn_ARM_JTAG_SWD_10,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,http://infocenter.arm.com/help/topic/com.arm.doc.faqs/attached/13634/cortex_debug_connectors.pdf,855-M50-3610542,,,,,,
RESET1,BTN_RESET,Button_Switch_SMD:SW_SPST_TL3342,,612-TL3342F160,,E-Switch,TL3342F160QG,https://www.mouser.com/Search/Refine.aspx?Keyword=612-TL3342F160,,
R1,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
IC2,TLV61225DCKR,board-schematics:SOT65P210X110-6N,http://www.ti.com/lit/ds/symlink/tlv61225.pdf,595-TLV61225DCKR,Voltage Regulators - Switching Regulators Single Cell High Eff Step-Up Converter,Texas Instruments,TLV61225DCKR,https://www.mouser.com/Search/Refine.aspx?Keyword=595-TLV61225DCKR,1.1,
L1,4.7uh,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,652-SRN2009T-4R7M,,,,,,
BT1,Battery_Cell,board-schematics:2466,~,534-2466,,,,,,2466
C3,10u,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,80-C0805X106M9RAUTO,,,,,,
R5,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
R6,1K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,667-ERJ-UP6J102V,,,,,,
D1,SD0805S020S0R5,Diode_SMD:D_0805_2012Metric,~,581-SD0805S020S0R5,,,,,,
IC1,ATSAML11E16A-AU,QFP80P900X900X120-32N,https://componentsearchengine.com/Datasheets/1/ATSAML11E16A-AU.pdf,579-ATSAML11E16A-AU,"ARM Microcontrollers - MCU 64KB Flash, 16KB SRAM, 32 MHz ARM Cortex-M23, TrustZone-M, Crypto, PTC, SERCOM, ADC, DAC, OPAMP, AC",Microchip,ATSAML11E16A-AU,https://www.mouser.com/Search/Refine.aspx?Keyword=579-ATSAML11E16A-AU,1.2,
